event_id,user_id,event_name,event_ts,device,session_id
620cd9b6-ae96-40fb-b006-ca4d82ed57d0,u_000000,signup,2024-02-18 16:00:00,mobile,s_00000001
cd7424a3-0677-4307-99d0-ce1a364c48c6,u_000000,template_used,2024-06-18 00:00:00,mobile,s_00000002
b3baf13a-05b2-4135-ab9e-86f53af480e5,u_000000,page_view,2024-06-28 00:00:00,mobile,s_00000003
7fe18c63-7b66-46e7-a210-8ef3e1e99ffc,u_000000,page_edited,2024-07-28 00:00:00,tablet,s_00000004
686a31d6-b097-480d-a212-79c4c8c8f374,u_000000,search_used,2024-07-07 00:00:00,desktop,s_00000005
4c984d8f-5273-47c7-a1d5-a8f09fef3ae4,u_000000,search_used,2024-03-13 00:00:00,mobile,s_00000006
2248b16a-6995-45ab-ba92-6d73219d02e2,u_000000,page_edited,2024-06-06 00:00:00,mobile,s_00000007
0e802139-0099-442e-b681-0132ee4d7fdf,u_000000,database_created,2024-05-10 00:00:00,desktop,s_00000008
83b3fe04-5dee-4fe5-a948-25718b5083b6,u_000000,database_created,2024-06-01 00:00:00,desktop,s_00000009
5f63d376-b5df-4098-9eab-001be03aeb36,u_000000,template_used,2024-02-21 00:00:00,mobile,s_00000010
5c59d258-6827-424b-885e-5d934fb53965,u_000000,template_used,2024-06-23 00:00:00,tablet,s_00000011
a35e8840-6fcf-42c1-ac9c-a20f52dfb92e,u_000000,integration_connected,2024-05-25 00:00:00,tablet,s_00000012
f64484bb-9728-4352-a8b5-e92853ddb775,u_000000,template_used,2024-05-01 00:00:00,tablet,s_00000013
1c1ee8e8-f182-449f-ad1b-36c7594f5e70,u_000001,signup,2025-02-27 01:00:00,tablet,s_00000014
a37a2043-39c2-452a-9f76-4431cd3ee1aa,u_000001,onboarding_started,2025-02-28 20:00:00,mobile,s_00000015
96cf475b-9053-4e47-ab04-4b2623cd958f,u_000001,workspace_created,2025-03-02 21:00:00,tablet,s_00000016
7358d88e-8705-48c3-a849-a4990dd32f3e,u_000001,content_created,2025-03-03 00:00:00,tablet,s_00000017
5c103416-a48b-4034-812c-37031f30690a,u_000001,collaboration,2025-03-05 00:00:00,desktop,s_00000018
4b3cf8ab-1269-49cc-914b-e2819cf2f319,u_000001,page_view,2025-07-19 00:00:00,tablet,s_00000019
41308fd4-b8c0-48ce-9d59-eb2e1b280714,u_000001,page_edited,2025-05-21 00:00:00,tablet,s_00000020
3ceb0555-f871-443e-bd03-226dd5f93000,u_000001,template_viewed,2025-04-06 00:00:00,mobile,s_00000021
aeefd987-5602-4d8d-a7e7-11bfd50a4e69,u_000001,template_used,2025-08-24 00:00:00,desktop,s_00000022
b4af8fad-9d2f-43a3-9d12-4dbcea9abb15,u_000001,template_used,2025-03-22 00:00:00,tablet,s_00000023
2a38f168-0431-436a-ad5f-d1849a564948,u_000001,search_used,2025-03-08 00:00:00,tablet,s_00000024
ab049bc8-4826-4b7b-97e1-3637e7ef73c3,u_000001,database_created,2025-07-04 00:00:00,mobile,s_00000025
